Year;Country of origin;Country of asylum;Refugees;Asylum-seekers
2015;Algeria;France;1384;1625
2015;Algeria;United Kingdom of Great Britain and Northern Ireland;334;174
2015;Algeria;Germany;289;3661
2015;Algeria;Greece;33;71
2015;Algeria;Italy;146;114
2015;Algeria;Spain;38;5
2015;Algeria;Switzerland;158;131
2015;Egypt;France;767;279
2015;Egypt;United Kingdom of Great Britain and Northern Ireland;473;373
2015;Egypt;Germany;636;3109
2015;Egypt;Greece;140;228
2015;Egypt;Italy;1397;402
2015;Egypt;Spain;11;35
2015;Egypt;Switzerland;86;53
2015;Bahrain;France;5;5
2015;Bahrain;United Kingdom of Great Britain and Northern Ireland;146;9
2015;Bahrain;Germany;55;9
2015;Bahrain;Italy;5;0
2015;Bahrain;Switzerland;5;0
2015;Palestinian;France;565;162
2015;Palestinian;United Kingdom of Great Britain and Northern Ireland;408;186
2015;Palestinian;Greece;103;7
2015;Palestinian;Italy;702;92
2015;Palestinian;Portugal;5;0
2015;Palestinian;Spain;503;315
2015;Iraq;France;4787;585
2015;Iraq;United Kingdom of Great Britain and Northern Ireland;3014;2375
2015;Iraq;Germany;51396;25278
2015;Iraq;Greece;4348;397
2015;Iraq;Italy;3428;165
2015;Iraq;Portugal;7;14
2015;Iraq;Spain;177;225
2015;Iraq;Switzerland;3501;2120
2015;Israel;France;5;0
2015;Israel;United Kingdom of Great Britain and Northern Ireland;11;5
2015;Israel;Germany;26;60
2015;Israel;Italy;5;0
2015;Israel;Switzerland;0;5
2015;Jordan;France;18;8
2015;Jordan;United Kingdom of Great Britain and Northern Ireland;46;36
2015;Jordan;Germany;138;258
2015;Jordan;Greece;5;0
2015;Jordan;Italy;20;11
2015;Jordan;Spain;22;30
2015;Jordan;Switzerland;44;22
2015;Kuwait;France;9;5
2015;Kuwait;United Kingdom of Great Britain and Northern Ireland;749;85
2015;Kuwait;Germany;5;5
2015;Kuwait;Italy;5;0
2015;Libya;France;143;710
2015;Libya;United Kingdom of Great Britain and Northern Ireland;1138;1021
2015;Libya;Germany;334;1574
2015;Libya;Greece;26;6
2015;Libya;Italy;392;151
2015;Libya;Portugal;11;0
2015;Libya;Spain;5;60
2015;Libya;Switzerland;250;101
2015;Lebanon;France;117;54
2015;Lebanon;United Kingdom of Great Britain and Northern Ireland;129;126
2015;Lebanon;Germany;521;2068
2015;Lebanon;Greece;9;10
2015;Lebanon;Italy;348;47
2015;Lebanon;Spain;0;50
2015;Lebanon;Switzerland;44;35
2015;Mauritania;France;5066;804
2015;Mauritania;United Kingdom of Great Britain and Northern Ireland;7;0
2015;Mauritania;Germany;15;160
2015;Mauritania;Greece;39;10
2015;Mauritania;Italy;282;54
2015;Mauritania;Portugal;5;0
2015;Mauritania;Spain;0;15
2015;Mauritania;Switzerland;5;11
2015;Morocco;France;254;388
2015;Morocco;United Kingdom of Great Britain and Northern Ireland;134;65
2015;Morocco;Germany;161;2441
2015;Morocco;Greece;42;57
2015;Morocco;Italy;346;388
2015;Morocco;Portugal;7;5
2015;Morocco;Spain;51;115
2015;Morocco;Switzerland;38;105
2015;Oman;United Kingdom of Great Britain and Northern Ireland;8;6
2015;Oman;Germany;5;5
2015;Qatar;United Kingdom of Great Britain and Northern Ireland;5;0
2015;Saudi Arabia;France;5;0
2015;Saudi Arabia;United Kingdom of Great Britain and Northern Ireland;71;42
2015;Saudi Arabia;Germany;15;16
2015;Saudi Arabia;Italy;6;0
2015;Saudi Arabia;Switzerland;0;5
2015;Syrian Arab Rep.;France;5179;2711
2015;Syrian Arab Rep.;United Kingdom of Great Britain and Northern Ireland;6496;1648
2015;Syrian Arab Rep.;Germany;115604;81582
2015;Syrian Arab Rep.;Greece;9101;450
2015;Syrian Arab Rep.;Italy;1460;246
2015;Syrian Arab Rep.;Portugal;17;28
2015;Syrian Arab Rep.;Spain;1992;3280
2015;Syrian Arab Rep.;Switzerland;8695;4462
2015;Tunisia;France;247;120
2015;Tunisia;United Kingdom of Great Britain and Northern Ireland;31;26
2015;Tunisia;Germany;90;1129
2015;Tunisia;Greece;6;11
2015;Tunisia;Italy;479;182
2015;Tunisia;Portugal;0;5
2015;Tunisia;Spain;0;5
2015;Tunisia;Switzerland;294;104
2015;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;15;17
2015;United Arab Emirates;Germany;0;6
2015;Western Sahara;France;297;794
2015;Western Sahara;United Kingdom of Great Britain and Northern Ireland;11;0
2015;Western Sahara;Italy;0;5
2015;Western Sahara;Spain;16;25
2015;Western Sahara;Switzerland;7;0
2015;Yemen;France;63;53
2015;Yemen;United Kingdom of Great Britain and Northern Ireland;292;94
2015;Yemen;Germany;140;538
2015;Yemen;Greece;6;25
2015;Yemen;Italy;58;14
2015;Yemen;Spain;5;0
2015;Yemen;Switzerland;323;54
2016;Algeria;France;1534;1273
2016;Algeria;United Kingdom of Great Britain and Northern Ireland;321;176
2016;Algeria;Germany;397;2744
2016;Algeria;Greece;39;401
2016;Algeria;Italy;165;83
2016;Algeria;Spain;42;400
2016;Algeria;Switzerland;149;140
2016;Egypt;France;842;284
2016;Egypt;United Kingdom of Great Britain and Northern Ireland;539;435
2016;Egypt;Germany;1079;3231
2016;Egypt;Greece;159;409
2016;Egypt;Italy;1672;732
2016;Egypt;Spain;11;40
2016;Egypt;Switzerland;95;44
2016;Bahrain;France;5;0
2016;Bahrain;United Kingdom of Great Britain and Northern Ireland;153;7
2016;Bahrain;Germany;58;21
2016;Bahrain;Italy;5;0
2016;Bahrain;Switzerland;5;0
2016;Palestinian;France;705;155
2016;Palestinian;United Kingdom of Great Britain and Northern Ireland;480;148
2016;Palestinian;Greece;155;524
2016;Palestinian;Italy;792;226
2016;Palestinian;Portugal;5;5
2016;Palestinian;Spain;595;825
2016;Iraq;France;6043;711
2016;Iraq;United Kingdom of Great Britain and Northern Ireland;3687;2736
2016;Iraq;Germany;86045;65646
2016;Iraq;Greece;8161;3135
2016;Iraq;Italy;4264;1021
2016;Iraq;Portugal;19;75
2016;Iraq;Spain;228;250
2016;Iraq;Switzerland;3494;2079
2016;Israel;France;5;5
2016;Israel;United Kingdom of Great Britain and Northern Ireland;10;14
2016;Israel;Germany;26;59
2016;Israel;Italy;5;9
2016;Israel;Switzerland;5;0
2016;Jordan;France;23;5
2016;Jordan;United Kingdom of Great Britain and Northern Ireland;49;58
2016;Jordan;Germany;182;344
2016;Jordan;Greece;5;10
2016;Jordan;Italy;26;8
2016;Jordan;Spain;22;25
2016;Jordan;Switzerland;52;17
2016;Kuwait;France;41;0
2016;Kuwait;United Kingdom of Great Britain and Northern Ireland;588;122
2016;Kuwait;Germany;14;25
2016;Kuwait;Greece;0;10
2016;Kuwait;Italy;6;0
2016;Kuwait;Switzerland;0;8
2016;Libya;France;322;711
2016;Libya;United Kingdom of Great Britain and Northern Ireland;1368;723
2016;Libya;Germany;686;1829
2016;Libya;Greece;24;11
2016;Libya;Italy;603;257
2016;Libya;Portugal;14;0
2016;Libya;Spain;5;55
2016;Libya;Switzerland;277;96
2016;Lebanon;France;134;18
2016;Lebanon;United Kingdom of Great Britain and Northern Ireland;129;0
2016;Lebanon;Germany;804;4452
2016;Lebanon;Greece;16;82
2016;Lebanon;Italy;349;75
2016;Lebanon;Spain;10;65
2016;Lebanon;Switzerland;44;34
2016;Mauritania;France;5183;542
2016;Mauritania;United Kingdom of Great Britain and Northern Ireland;7;0
2016;Mauritania;Germany;17;174
